datapaths, models, pred_lens, mse, mae
ETTh1,ResidualModel,96,0.5325,0.5187
ETTh1,ResidualModel,192,0.6028,0.5585
ETTh1,ResidualModel,336,0.6582,0.585
ETTh1,ResidualModel,720,0.6724,0.5988
ETTh2,ResidualModel,96,0.6679,0.5553
ETTh2,ResidualModel,192,0.8093,0.6248
ETTh2,ResidualModel,336,0.9048,0.6768
ETTh2,ResidualModel,720,0.9155,0.6984
ETTm1,ResidualModel,96,0.5941,0.5589
ETTm1,ResidualModel,192,0.6361,0.5876
ETTm1,ResidualModel,336,0.714,0.6325
ETTm1,ResidualModel,720,0.8098,0.6906
ETTm2,ResidualModel,96,0.4453,0.4812
ETTm2,ResidualModel,192,0.5572,0.5403
ETTm2,ResidualModel,336,0.7403,0.6218
ETTm2,ResidualModel,720,0.8542,0.6906
datapaths, models, pred_lens, mse, mae
ETTh1,ResidualModel,96,0.5312,0.5182
ETTh1,ResidualModel,192,0.6012,0.5578
ETTh1,ResidualModel,336,0.6563,0.5841
ETTh1,ResidualModel,720,0.6706,0.5979
ETTh2,ResidualModel,96,0.6647,0.5546
ETTh2,ResidualModel,192,0.8047,0.6236
ETTh2,ResidualModel,336,0.8997,0.6753
ETTh2,ResidualModel,720,0.9115,0.697
ETTm1,ResidualModel,96,0.5918,0.5582
ETTm1,ResidualModel,192,0.6338,0.587
ETTm1,ResidualModel,336,0.7114,0.6321
ETTm1,ResidualModel,720,0.807,0.6902
ETTm2,ResidualModel,96,0.4451,0.4815
ETTm2,ResidualModel,192,0.5562,0.5401
ETTm2,ResidualModel,336,0.7373,0.6206
ETTm2,ResidualModel,720,0.8477,0.6882
